category;governorate;hour;dayOfWeek;month;maxParticipants;success_level
OTHER;Kef;16;5;1;17;MEDIUM
CEREMONY;Kasserine;14;5;2;155;MEDIUM
CEREMONY;Ben Arous;9;2;10;67;MEDIUM
SPORT;Nabeul;10;4;11;94;MEDIUM
OTHER;Tozeur;14;3;10;77;LOW
KARAOKE;Sousse;22;4;7;16;MEDIUM
SPORT;Tataouine;18;6;9;112;HIGH
CINEMA;Sidi Bouzid;20;1;7;58;MEDIUM
CEREMONY;Kasserine;14;5;2;110;MEDIUM
CEREMONY;Siliana;16;2;6;69;MEDIUM
CEREMONY;Ben Arous;9;6;2;53;HIGH
CEREMONY;Manouba;16;5;6;63;HIGH
OTHER;Ariana;18;4;9;52;MEDIUM
SPORT;Sidi Bouzid;10;6;11;116;MEDIUM
CEREMONY;Kebili;9;2;10;109;LOW
KARAOKE;Manouba;22;4;4;19;MEDIUM
CEREMONY;Beja;17;0;6;172;MEDIUM
KARAOKE;Manouba;20;4;4;37;MEDIUM
OTHER;Medenine;18;5;11;81;MEDIUM
SPORT;Medenine;18;6;12;54;HIGH
SPORT;Zaghouan;10;5;5;63;MEDIUM
KARAOKE;Tunis;19;6;3;46;HIGH
CEREMONY;Ben Arous;10;5;11;37;HIGH
SPORT;Kebili;17;1;7;73;MEDIUM
CEREMONY;Siliana;10;2;5;113;LOW
OTHER;Medenine;10;0;3;30;LOW
OTHER;Ariana;19;0;5;66;MEDIUM
CEREMONY;Monastir;15;3;7;99;MEDIUM
CINEMA;Mahdia;17;2;7;29;HIGH
KARAOKE;Gafsa;22;3;9;52;LOW
KARAOKE;Ariana;19;3;10;13;HIGH
SPORT;Bizerte;10;1;3;117;LOW
KARAOKE;Kef;20;0;1;41;MEDIUM
CEREMONY;Zaghouan;10;3;9;88;LOW
OTHER;Sfax;19;6;6;19;HIGH
CEREMONY;Kebili;9;3;1;147;LOW
SPORT;Siliana;17;3;10;71;MEDIUM
CEREMONY;Kef;9;3;1;113;LOW
CINEMA;Medenine;20;6;12;61;HIGH
SPORT;Sidi Bouzid;19;0;4;75;MEDIUM
OTHER;Kasserine;17;0;7;49;MEDIUM
KARAOKE;Beja;20;6;3;14;HIGH
OTHER;Tataouine;10;4;9;34;LOW
KARAOKE;Kairouan;19;1;2;19;MEDIUM
KARAOKE;Bizerte;19;4;3;58;MEDIUM
SPORT;Zaghouan;19;5;8;79;HIGH
OTHER;Gabes;16;5;10;92;MEDIUM
OTHER;Siliana;19;2;3;66;LOW
SPORT;Monastir;16;5;5;55;HIGH
OTHER;Ariana;14;4;2;49;MEDIUM
CEREMONY;Sousse;9;0;6;103;MEDIUM
SPORT;Tataouine;19;6;2;98;MEDIUM
OTHER;Mahdia;15;3;10;80;LOW
SPORT;Sousse;19;4;11;44;HIGH
KARAOKE;Medenine;21;4;3;13;MEDIUM
CEREMONY;Manouba;17;6;6;51;HIGH
OTHER;Tataouine;11;0;4;100;LOW
CEREMONY;Sousse;15;4;10;70;MEDIUM
KARAOKE;Kairouan;20;3;7;59;MEDIUM
KARAOKE;Gafsa;22;0;11;51;LOW
KARAOKE;Ben Arous;20;0;9;53;MEDIUM
CEREMONY;Kef;11;5;11;184;LOW
CINEMA;Siliana;17;4;11;33;MEDIUM
KARAOKE;Kef;21;1;10;55;MEDIUM
SPORT;Kef;17;3;11;62;MEDIUM
CINEMA;Gafsa;21;0;11;69;MEDIUM
OTHER;Kairouan;9;2;5;33;LOW
CINEMA;Siliana;20;1;4;32;MEDIUM
CINEMA;Ben Arous;19;6;2;79;HIGH
OTHER;Kebili;17;0;11;53;LOW
OTHER;Nabeul;18;3;3;30;MEDIUM
CINEMA;Tozeur;21;6;3;71;MEDIUM
SPORT;Sidi Bouzid;10;5;12;50;MEDIUM
CEREMONY;Medenine;11;6;12;144;MEDIUM
CINEMA;Sfax;18;2;8;39;HIGH
KARAOKE;Gafsa;22;3;8;59;LOW
KARAOKE;Kasserine;22;4;7;20;MEDIUM
CINEMA;Medenine;18;6;5;21;HIGH
CEREMONY;Kairouan;15;0;12;162;LOW
SPORT;Kef;8;6;3;54;MEDIUM
CEREMONY;Mahdia;10;6;7;53;HIGH
CINEMA;Sousse;19;0;7;21;HIGH
CEREMONY;Mahdia;11;1;7;50;MEDIUM
KARAOKE;Beja;18;2;2;55;MEDIUM
KARAOKE;Nabeul;19;0;5;40;HIGH
CINEMA;Tozeur;20;3;10;15;MEDIUM
SPORT;Tunis;10;1;3;90;MEDIUM
OTHER;Mahdia;15;0;5;40;MEDIUM
KARAOKE;Manouba;18;1;7;50;MEDIUM
OTHER;Sousse;10;0;8;86;LOW
OTHER;Tunis;19;4;10;40;MEDIUM
CINEMA;Kef;20;0;10;60;MEDIUM
CINEMA;Gabes;20;1;11;25;MEDIUM
OTHER;Kairouan;10;4;9;74;LOW
OTHER;Sfax;9;3;8;15;MEDIUM
CEREMONY;Kairouan;11;5;1;121;MEDIUM
SPORT;Kairouan;9;5;11;100;MEDIUM
SPORT;Gabes;18;6;6;37;HIGH
SPORT;Kairouan;17;2;11;42;HIGH
CEREMONY;Tozeur;14;5;3;64;MEDIUM
SPORT;Tozeur;19;3;1;57;MEDIUM
CINEMA;Ariana;18;0;6;54;HIGH
OTHER;Kasserine;17;3;5;14;MEDIUM
CINEMA;Kef;19;6;1;57;MEDIUM
KARAOKE;Manouba;20;3;7;57;MEDIUM
CEREMONY;Kasserine;11;1;8;157;LOW
KARAOKE;Mahdia;20;6;2;56;HIGH
CEREMONY;Ben Arous;14;4;3;169;MEDIUM
KARAOKE;Siliana;18;0;6;52;MEDIUM
KARAOKE;Kef;21;4;12;37;MEDIUM
CINEMA;Tozeur;20;2;8;20;MEDIUM
KARAOKE;Medenine;21;2;11;60;MEDIUM
SPORT;Ben Arous;18;5;7;66;HIGH
OTHER;Kebili;19;1;1;28;MEDIUM
OTHER;Gafsa;21;3;1;26;MEDIUM
SPORT;Beja;19;5;6;66;HIGH
CEREMONY;Gabes;9;4;3;145;LOW
KARAOKE;Kairouan;21;6;2;46;HIGH
CINEMA;Mahdia;19;3;6;50;MEDIUM
CINEMA;Manouba;17;5;3;78;HIGH
OTHER;Kasserine;17;0;5;43;LOW
CEREMONY;Bizerte;15;2;12;155;LOW
CINEMA;Manouba;18;6;2;72;HIGH
CINEMA;Tozeur;20;0;11;55;MEDIUM
KARAOKE;Tozeur;18;4;9;28;MEDIUM
KARAOKE;Zaghouan;19;6;6;42;HIGH
CINEMA;Manouba;18;6;3;45;HIGH
CEREMONY;Tunis;11;4;10;124;MEDIUM
CEREMONY;Sfax;10;4;2;46;MEDIUM
KARAOKE;Kasserine;21;4;7;59;MEDIUM
CEREMONY;Gabes;9;1;6;194;LOW
SPORT;Sousse;16;5;9;64;HIGH
CINEMA;Sfax;21;1;3;70;MEDIUM
OTHER;Ariana;10;4;3;48;LOW
CINEMA;Zaghouan;19;5;4;59;MEDIUM
OTHER;Kef;10;2;4;91;LOW
OTHER;Jendouba;11;5;5;88;LOW
OTHER;Ben Arous;17;5;3;85;MEDIUM
OTHER;Nabeul;11;5;10;87;MEDIUM
KARAOKE;Gabes;18;6;1;15;HIGH
SPORT;Tataouine;19;4;5;103;MEDIUM
CINEMA;Gabes;20;4;11;18;MEDIUM
CEREMONY;Tataouine;15;2;11;107;LOW
CEREMONY;Beja;17;6;11;133;MEDIUM
KARAOKE;Sousse;18;5;1;20;HIGH
CEREMONY;Sidi Bouzid;14;3;4;117;LOW
OTHER;Nabeul;14;6;12;50;MEDIUM
KARAOKE;Kasserine;19;6;6;42;HIGH
OTHER;Manouba;14;1;8;25;MEDIUM
KARAOKE;Sousse;19;1;2;13;HIGH
KARAOKE;Kasserine;22;3;4;20;LOW
KARAOKE;Gabes;20;1;3;41;MEDIUM
OTHER;Sousse;16;2;8;12;MEDIUM
SPORT;Kasserine;17;3;4;47;MEDIUM
OTHER;Kairouan;9;0;5;73;LOW
OTHER;Tataouine;19;3;5;78;LOW
SPORT;Manouba;16;1;5;113;MEDIUM
KARAOKE;Kasserine;20;0;7;13;MEDIUM
OTHER;Sfax;12;2;9;46;LOW
SPORT;Kasserine;17;3;9;55;MEDIUM
OTHER;Gafsa;18;0;3;22;MEDIUM
CEREMONY;Kairouan;17;2;9;123;MEDIUM
CINEMA;Bizerte;21;4;7;79;MEDIUM
SPORT;Ariana;8;1;12;62;MEDIUM
CEREMONY;Mahdia;14;1;10;161;LOW
CINEMA;Siliana;21;2;3;65;MEDIUM
OTHER;Kebili;13;4;6;74;LOW
OTHER;Sfax;16;5;10;48;MEDIUM
CEREMONY;Tunis;11;2;11;58;MEDIUM
CEREMONY;Gabes;11;6;12;191;MEDIUM
SPORT;Medenine;16;2;11;120;MEDIUM
OTHER;Gabes;12;5;1;84;LOW
CEREMONY;Zaghouan;15;5;12;188;MEDIUM
CEREMONY;Nabeul;17;5;4;38;HIGH
OTHER;Tozeur;10;1;1;66;LOW
KARAOKE;Sidi Bouzid;19;3;12;23;MEDIUM
CEREMONY;Mahdia;17;4;8;45;HIGH
CINEMA;Mahdia;18;4;6;76;MEDIUM
OTHER;Kasserine;14;1;8;78;LOW
KARAOKE;Sfax;20;5;12;53;HIGH
KARAOKE;Medenine;21;1;4;27;MEDIUM
OTHER;Kef;12;2;5;100;LOW
CINEMA;Tozeur;20;2;8;59;MEDIUM
OTHER;Kebili;13;2;2;83;LOW
OTHER;Kasserine;15;6;6;28;MEDIUM
KARAOKE;Ariana;20;5;2;32;HIGH
CEREMONY;Tataouine;11;5;8;84;MEDIUM
CINEMA;Sfax;19;4;12;49;MEDIUM
CINEMA;Manouba;21;5;10;45;HIGH
CINEMA;Ariana;21;1;11;44;MEDIUM
SPORT;Manouba;16;2;12;80;MEDIUM
SPORT;Gafsa;19;1;1;90;MEDIUM
CINEMA;Sidi Bouzid;20;3;11;40;MEDIUM
KARAOKE;Siliana;20;5;1;59;MEDIUM
SPORT;Tataouine;17;1;9;114;MEDIUM
SPORT;Zaghouan;16;6;3;24;HIGH
CEREMONY;Monastir;10;5;5;39;HIGH
SPORT;Kef;17;4;2;62;MEDIUM
KARAOKE;Sousse;22;4;8;18;MEDIUM
OTHER;Sousse;13;1;2;52;LOW
CINEMA;Kebili;20;5;5;38;HIGH
SPORT;Kebili;10;6;5;92;MEDIUM
CINEMA;Zaghouan;21;6;11;66;MEDIUM
CEREMONY;Mahdia;11;0;7;54;MEDIUM
CINEMA;Nabeul;20;2;4;15;HIGH
KARAOKE;Kasserine;19;3;5;31;MEDIUM
KARAOKE;Gabes;22;0;5;51;LOW
KARAOKE;Tozeur;19;0;11;17;MEDIUM
CEREMONY;Kef;10;3;11;158;LOW
KARAOKE;Tozeur;18;5;5;33;HIGH
OTHER;Beja;12;1;8;29;LOW
CEREMONY;Kebili;15;2;7;170;LOW
CEREMONY;Sfax;17;5;4;93;HIGH
OTHER;Ben Arous;17;3;9;100;MEDIUM
KARAOKE;Ben Arous;22;0;1;45;MEDIUM
OTHER;Bizerte;18;4;3;31;MEDIUM
KARAOKE;Mahdia;21;0;11;23;MEDIUM
OTHER;Monastir;10;4;8;17;MEDIUM
CEREMONY;Nabeul;15;3;8;174;MEDIUM
SPORT;Sfax;16;5;5;112;HIGH
SPORT;Kasserine;10;6;1;115;MEDIUM
CINEMA;Gabes;17;0;7;59;MEDIUM
SPORT;Sfax;8;0;8;24;HIGH
KARAOKE;Sidi Bouzid;19;6;3;59;MEDIUM
CEREMONY;Kairouan;14;3;7;126;MEDIUM
SPORT;Gafsa;18;6;9;37;HIGH
KARAOKE;Manouba;19;4;7;43;MEDIUM
CINEMA;Kebili;18;6;1;17;HIGH
KARAOKE;Sousse;22;3;9;34;MEDIUM
CINEMA;Beja;20;2;3;50;MEDIUM
CINEMA;Kebili;17;0;11;68;MEDIUM
OTHER;Tunis;12;1;2;22;MEDIUM
OTHER;Ariana;16;4;11;100;LOW
SPORT;Beja;18;0;7;76;MEDIUM
CINEMA;Sfax;18;6;1;32;HIGH
OTHER;Kef;12;6;12;83;LOW
KARAOKE;Gabes;22;6;11;30;MEDIUM
CINEMA;Kef;18;5;9;43;MEDIUM
CEREMONY;Kef;11;0;9;181;LOW
CINEMA;Tataouine;20;4;8;21;MEDIUM
KARAOKE;Tataouine;21;6;9;30;HIGH
CEREMONY;Sidi Bouzid;10;2;7;77;MEDIUM
OTHER;Monastir;12;6;4;48;MEDIUM
CINEMA;Sousse;17;4;7;68;HIGH
OTHER;Mahdia;11;3;4;42;LOW
CINEMA;Siliana;17;3;6;26;MEDIUM
OTHER;Kebili;12;0;5;58;LOW
OTHER;Medenine;9;6;2;34;MEDIUM
OTHER;Kebili;19;4;4;71;LOW
CINEMA;Siliana;19;0;4;39;MEDIUM
SPORT;Kebili;19;3;4;109;MEDIUM
OTHER;Tozeur;12;3;4;80;LOW
KARAOKE;Kef;21;3;9;51;MEDIUM
KARAOKE;Kef;20;2;9;41;MEDIUM
CEREMONY;Manouba;17;5;8;111;HIGH
CINEMA;Kairouan;19;3;1;43;MEDIUM
CINEMA;Tunis;19;4;10;68;MEDIUM
KARAOKE;Nabeul;19;2;4;34;HIGH
OTHER;Beja;16;4;11;97;LOW
KARAOKE;Jendouba;21;5;11;57;MEDIUM
CEREMONY;Sousse;10;5;6;73;HIGH
CINEMA;Kebili;21;3;3;22;MEDIUM
OTHER;Ariana;10;6;11;16;MEDIUM
SPORT;Sidi Bouzid;9;6;11;49;MEDIUM
SPORT;Tozeur;9;0;4;84;LOW
CEREMONY;Kairouan;9;4;11;200;LOW
OTHER;Monastir;19;3;1;10;MEDIUM
OTHER;Sfax;15;0;1;77;MEDIUM
KARAOKE;Sfax;20;0;9;54;MEDIUM
CEREMONY;Zaghouan;9;0;9;68;LOW
CINEMA;Bizerte;21;4;5;60;MEDIUM
KARAOKE;Kasserine;18;2;7;39;MEDIUM
OTHER;Beja;20;1;5;97;LOW
SPORT;Tataouine;19;5;1;31;HIGH
CEREMONY;Kasserine;14;4;8;44;MEDIUM
SPORT;Tozeur;9;0;8;75;MEDIUM
KARAOKE;Gabes;18;4;1;24;MEDIUM
CINEMA;Tozeur;21;3;5;20;MEDIUM
SPORT;Gafsa;10;4;10;104;LOW
SPORT;Zaghouan;19;2;1;46;MEDIUM
OTHER;Nabeul;21;6;12;60;HIGH
SPORT;Kef;9;4;4;92;LOW
CEREMONY;Gafsa;15;2;7;65;MEDIUM
SPORT;Mahdia;18;2;1;32;HIGH
CEREMONY;Beja;17;0;6;184;MEDIUM
OTHER;Medenine;15;6;6;13;HIGH
KARAOKE;Sousse;21;1;6;45;HIGH
CEREMONY;Sidi Bouzid;10;5;10;199;LOW
